Vardas                   Pavarde                    ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       ND9      ND10      ND11      ND12      ND13      ND14      ND15      Egz.
Vardas603             Pavarde603                      1         1         2         3        10         3         7         2        10         8         4        10         9         5         2         7
Vardas604             Pavarde604                     10         8         5         5         4         7         3         8         8         2        10         3         4         2         6         6
Vardas605             Pavarde605                      4         8         1         1         7         2         3         5         4         3         6         2         3         9         7         4
Vardas606             Pavarde606                      9         4         4         7         1         6         1         8         3         8         3         2         6         7         2         9
Vardas607             Pavarde607                      6        10         4         4         9         4        10        10         2         8         4         4         1         7         9         8
Vardas608             Pavarde608                      5         5         4         8         6         6         1         6         2         4         1         8         8         7         2         6
Vardas609             Pavarde609                      7         4         4         3         6         7        10         3        10         1        10         4         1         9         1         4
Vardas610             Pavarde610                      2         8         2         4         4         4         4         6        10         6         4         1         9         8         6         5
Vardas611             Pavarde611                      8         3         7         3         7         6         3         3         4         5         9         5         8         5         7         9
Vardas612             Pavarde612                      4         3         8         4         4         4         1         8         1         1         4         9        10         7         8         3
Vardas613             Pavarde613                      6         4         8        10        10         1        10         2         9         8         9         1        10         5         6         9
Vardas614             Pavarde614                      5         2         3         2         8         5         7         3         4         6         7         6         7         7         4         4
Vardas615             Pavarde615                      5         8         3        10         4        10         5         2         9         5         8         9         2         9         3         3
Vardas616             Pavarde616                      2         5         9         4         5         9         9         1         9         6         1         3         3         2         5         6
Vardas617             Pavarde617                     10         4        10         4         5         7         5         9         3         3         1         2        10         3         5         9
Vardas618             Pavarde618                      1         6         2         8         4         6         4         5         6         7         8         8         4        10         9         3
Vardas619             Pavarde619                      4         4         2         1         5         5         3         4         8         3         2         2         1         1         7         4
Vardas620             Pavarde620                      5        10         3         4        10         4         5         8        10         1         2         1         1         3         6         6
Vardas621             Pavarde621                      7         6         7         7         5         5         1        10         2         3         8         5         7         3         2         2
Vardas622             Pavarde622                      9         8         6         4         1         1         5         5         9         8         4         7         5         9         3         8
Vardas623             Pavarde623                      8         8         8         2         7         6         9         7        10         1         5         4         4         1         7         8
Vardas624             Pavarde624                      3        10         6         6         9         8         7         5         3         7         9        10         5         9         5         9
Vardas625             Pavarde625                      7        10         8         7         6         1         5         3         5         5         5         3         2         3         7         2
Vardas626             Pavarde626                      1         8        10        10         5        10         5         5         9         5         2         8         5         2         6        10
Vardas627             Pavarde627                      5         4         8         8         5         3         6         4         2         8         8         8         4         1         8         4
Vardas628             Pavarde628                      9         6         2         4         3         8        10         1         8         5         7         2         6        10         4         5
Vardas629             Pavarde629                      5         4         2        10         2         8         1         1         6         9         4         7         3        10         8         5
Vardas630             Pavarde630                      6        10         4         4         9         4         9         4         6         9        10        10         6         4         6        10
Vardas631             Pavarde631                      7         6         6         7         3         6         3         4         2         5         5        10         1         9        10         1
Vardas632             Pavarde632                     10         1         3         4         7         9         2         9         5         8         2         4         9         6         6         3
Vardas633             Pavarde633                      3         7         9        10         8         8         9         5         5         4         2         7         4         7         1         2
Vardas634             Pavarde634                      5         6         2         1         6         6         2         2        10         1         3         7         9         5         4         7
Vardas635             Pavarde635                      1         1        10         8         6         8         5         2         2         3         2         9         2         2         2         8
Vardas636             Pavarde636                     10         1         1         1         2         8         1         3         4         4         4         2         8         6         4         9
Vardas637             Pavarde637                      5         9         8         1         1         8         9        10         2         2         9         4         8         8         9         1
Vardas638             Pavarde638                      4         2         2         6         2         3         5         7         2         9         5         3         9         3        10         9
Vardas639             Pavarde639                      7        10         5         1         7        10         4         3         9         6         4         2         5         2         5         8
Vardas640             Pavarde640                      6         5         2         1        10         9         3        10         5         2         2         2         9         8         4         5
Vardas641             Pavarde641                      6         4        10         1         5         6         6         7         8         9        10         6         8         2         7         2
Vardas642             Pavarde642                      1         5         9         3         8         8         2         6         3        10         2         9         8         4         6         4
Vardas643             Pavarde643                      2         3         2         7         7         3         9        10         5         9         3         1         1         2         6         4
Vardas644             Pavarde644                     10         5         8         3         5         2         2         5         2         3         4         3         9         4         9         2
Vardas645             Pavarde645                      8         1         6        10         8         8         6         3         8         9         9         3         4         5         7        10
Vardas646             Pavarde646                      3         2         8         5         9         7         5         7         1         3         4         4         6         4        10         8
Vardas647             Pavarde647                      7         5         9        10         7         1        10         1         6         3         9         6         4         3         6         7
Vardas648             Pavarde648                      4         8         9         3         7         9         2         1         6         9         2         7         7         9         8         2
Vardas649             Pavarde649                     10         1         5         2         5         5         8         6         9         6         8         6         8         3         7         5
Vardas650             Pavarde650                      3        10         2         8         4         3         9         1         5         8         4         6         6         6         5         9
Vardas651             Pavarde651                      7         5         6         5        10         5         1         1        10         8         9        10         1         8         9         9
Vardas652             Pavarde652                      3         6         3         9         3         2         5         7        10         7         8         4        10         3         4         7
Vardas653             Pavarde653                      8         1         6         4         6         7         7         6         6         3         3         8         2         4         1         8
Vardas654             Pavarde654                      4         5         7        10         1         6         5         7         2         8         1         6         6         2         3         1
Vardas655             Pavarde655                     10         6         5         7         4         1         6         4         4         2         4         5         5         4         8         6
Vardas656             Pavarde656                      3         4        10        10         9         7        10         5        10         6         3        10         8         5         1        10
Vardas657             Pavarde657                      1         2         8         7         5         1         9         6        10         6         6         2        10        10         5         3
Vardas658             Pavarde658                      7         5         2         7         8        10        10         8         7        10         5         6         9         4         6         4
Vardas659             Pavarde659                      3         4         3        10         9         1         1         9         6         9         2         1         3         6         6         2
Vardas660             Pavarde660                      1         9         7         6         1         4         4         3         5         9         1         1         6        10         5         7
Vardas661             Pavarde661                      4         2         6         3         2         2         2         5         7         6         6         4         6         2         9         3
Vardas662             Pavarde662                      3         3         6         6         6         1         7         8         3         5         1         2         1         9         8        10
Vardas663             Pavarde663                      8         7         8         8         3         9         9         2        10         5         5         8         6         4         3         7
Vardas664             Pavarde664                      8         9         6         7         7         1         1         5         9         1         3         4         6         9         1         1
Vardas665             Pavarde665                      8        10         7         7         3         5         6         3        10         1         6         4         8         3         6         5

